origin,lien,s_human,p_human,o_human,separation,s_original,p_original,o_original
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,type,PersonalName,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#PersonalName
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,type,Authority,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#Authority
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,authoritative Label,"""Carton de Wiart, Henry, Comte, 1869-1951""",,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#authoritativeLabel,"""Carton de Wiart, Henry, Comte, 1869-1951""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,element List,_:bnode7authoritiesnamesn90616027 .,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#elementList,_:bnode7authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode7authoritiesnamesn90616027,first,_:bnode8authoritiesnamesn90616027 .,,_:bnode7authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode8authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode7authoritiesnamesn90616027,rest,_:bnode010 .,,_:bnode7authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode010 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode8authoritiesnamesn90616027,type,FullNameElement,,_:bnode8authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#FullNameElement
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode8authoritiesnamesn90616027,element Value,"""Carton de Wiart, Henry,""",,_:bnode8authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Carton de Wiart, Henry,""@en ."
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode010,first,_:bnode11authoritiesnamesn90616027 .,,_:bnode010,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode11authoritiesnamesn90616027 .
Library of Congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode010,rest,_:bnode013 .,,_:bnode010,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode013 .
