origin,lien,s_human,p_human,o_human,p_category,separation,s_original,p_original,o_original
library of congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,est un,PersonalName,CATEGORISATION,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#PersonalName
library of congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,est un,Authority,CATEGORISATION,,http://id.loc.gov/authorities/names/n90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.loc.gov/mads/rdf/v1#Authority
library of congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,label d'autorité,"""Carton de Wiart, Henry, Comte, 1869-1951""",APPELLATION,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#authoritativeLabel,"""Carton de Wiart, Henry, Comte, 1869-1951""@en ."
library of congress,http://id.loc.gov/authorities/names/n90616027.html,Henry Carton de Wiart,listé dans,_:bnode7authoritiesnamesn90616027 .,CATEGORISATION,,http://id.loc.gov/authorities/names/n90616027,http://www.loc.gov/mads/rdf/v1#elementList,_:bnode7authoritiesnamesn90616027 .
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode7authoritiesnamesn90616027,premier élément de,_:bnode8authoritiesnamesn90616027 .,METADONNEES,,_:bnode7authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode8authoritiesnamesn90616027 .
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode7authoritiesnamesn90616027,reste de liste,_:bnode010 .,METADONNEES,,_:bnode7authoritiesnamesn90616027,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode010 .
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode8authoritiesnamesn90616027,valeur de l'élément,"""Carton de Wiart, Henry,""",APPELLATION,,_:bnode8authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Carton de Wiart, Henry,""@en ."
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode010,premier élément de,_:bnode11authoritiesnamesn90616027 .,METADONNEES,,_:bnode010,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,_:bnode11authoritiesnamesn90616027 .
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode010,reste de liste,_:bnode013 .,METADONNEES,,_:bnode010,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,_:bnode013 .
library of congress,http://id.loc.gov/authorities/names/n90616027.html,_:bnode11authoritiesnamesn90616027,valeur de l'élément,"""Comte,""",DIVERS,,_:bnode11authoritiesnamesn90616027,http://www.loc.gov/mads/rdf/v1#elementValue,"""Comte,""@en ."
