source,lien,sujet,prédicat,objet,Complément,De (date),À (date),Column,Column2,Column3,Column4,Co-auteur(s),Compléments,Remarques
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,a étudié,droit,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,a étudié à,Collège Saint-Michel (actuel Collège Saint-Jean-Berchmans (Bruxelles)),secondaires,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,a étudié à,Université libre de bruxelles,droit,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,beau-père de,Albert Houtart,"""article connexe"" ",,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,co-fondateur,revue artistique et littéraire Durendal,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,co-fondateur,Société d'Art à l'école et au foyer,avec le chanoine Bondroit et Mallinger,Devenue ASBL Juliette et Henry Carton de Wiart,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Contes hétéroclites, [(Gand)], Siffer, 1892.",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Nouveaux Contes Hétéroclites, [(Bruxelles)] : [(Durandal)], Paris : Lethielleux, 1947",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"La Cité ardente, Paris : Perrin, 1905.","roman de chelvalerie, a donné à Liège un nouveau surnom",,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Manuel d'études sociales et politiques, 1906",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Les Vertus bourgeoises, 1910,",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Le Bon combat, 1913,",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Le roi Albert chef d'État,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,La Belgique en Terre d'asile,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"La Belgique, boulevard du droit",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"La Politique de l'honneur, 1917,",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Le Droit à la joie, 1922, Parmi les idées et les lettres. Parmi les paysages",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"La Candidature de Philippe d'Orléans à la souveraineté des Provinces Belgiques en 1789 et 1790, d'après des documents inédits,",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Beernaert et son temps,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Les Cariatides,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Léopold II : souvenirs des dernières années,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Terres de débat,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,Souvenirs politiques,,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Mes vacances au Congo, 1927,",,,,,,,,,,
Wikipedia FR,https://fr.wikipedia.org/wiki/Henry_Carton_de_Wiart,Henry Carton de Wiart,créateur,"Mes vacances au Brésil, 1929",,,,,,,,,,
