remarques,source,sujet,prédicat_Anne,prédicats_rdf,prédicats_Wikidata,cat_Anne,Catégories,objet,Complément,De (date),À (date),Column2,Column3,Column4,Co-auteur(s),Compléments,Remarques,lien
,Fichier producteur EAC,Henry Carton de Wiart,lié à,http://purl.org/vocab/relationship/acquaintanceOf,lié à,relations,RELATIONS,Famille Verhaegen,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,est,est,https://www.wikidata.org/wiki/Property:P97,titres honorifiques,TITRES HONORIFIQUES,noble,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,est,est,https://www.wikidata.org/wiki/Property:P140,infos de base,infos de base,catholique,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié à,a étudié à,https://www.wikidata.org/wiki/Property:P69,études/profession,LOCALISATION,collège d'Alost,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié à,a étudié à,https://www.wikidata.org/wiki/Property:P69,études/profession,LOCALISATION,collège Saint-Michel à Bruxelles,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié à,a étudié à,https://www.wikidata.org/wiki/Property:P69,études/profession,LOCALISATION,Université libre de Bruxelles,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié,a étudié,https://www.wikidata.org/wiki/Property:P812,études/profession,études/profession,droit,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,degré académique,est,https://www.wikidata.org/wiki/Property:P512,études/profession,études/profession,docteur en droit,,1890,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié à,a étudié à,a étudié à,études/profession,LOCALISATION,Paris,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
,Fichier producteur EAC,Henry Carton de Wiart,a étudié à,a étudié à,a étudié à,études/profession,LOCALISATION,Bonn,,,,,,,,,,https://search.arch.be/fr/producteurs-darchives/resultats/?text=eac-BE-A0500_007556&inLanguageCode=FRE&view=eac&format=xml
