"s","p","o"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/Person"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Person"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q215627"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q24229398"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q5"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Agent"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/OfficeHolder"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Person"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatPeopleFromBrussels"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatGovernmentMinistersOfBelgium"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Administrator109770949"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Aristocrat109807754"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/CausalAgent100007347"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Communicator109610660"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Count109969218"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Executive110069645"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Head110162991"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Holder110180178"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Leader109623038"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/LivingThing100004258"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/MaleAristocrat110285135"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Minister110320863"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Noble110271677"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Object100002684"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Officeholder110371450"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Official110372373"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Organism100004475"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Owner110389398"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Person100007846"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PhysicalEntity100001930"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Politician110450303"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/SkilledWorker110605985"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Whole100003553"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Worker109632518"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Writer110794014"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActor"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActorGeo"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatCatholicParty(Belgium)Politicians"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatCountsOfBelgium"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatBelgianMinistersOfState"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatBelgianPeople"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatBelgianWritersInFrench"
"http://dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/WikicatWalloonPeople"
