"s","p","o"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Agent"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Person"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Person"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q215627"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q24229398"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q5"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/Person"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#comment","Henri Carton Comte de Wiart (* 31. Januar 1869 in Brüssel; † 6. Mai 1951 in Uccle) war ein belgischer katholischer Politiker und Premierminister."
"http://de.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://commons.dbpedia.org/resource/Category:Henri_Carton_de_Wiart"
