"s","p","o"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/m.09d56l"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageRevisionID",23963002
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/ns/prov#wasDerivedFrom","http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart?oldid=23963002"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageOutDegree",1
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageID",2492487
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageLength",35
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageRedirects","http://fr.dbpedia.org/resource/Henry_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart","http://xmlns.com/foaf/0.1/isPrimaryTopicOf","http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Émile_Vandervelde","http://fr.dbpedia.org/property/avant","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Émile_Vandervelde__2","http://dbpedia.org/ontology/predecessor","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Albert-Édouard_Janssen","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Duvieusart","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Parti_catholique","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Carton_de_Wiart","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Cooreman","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Theunis_I","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Vande_Vyvere","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_de_Broqueville_I","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_de_Broqueville_III","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Liste_des_premiers_ministres_de_Belgique","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Émile_Vandervelde","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Fédération_wallonne_des_étudiants_de_Louvain","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Gouvernement_Gaston_Eyskens_I","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.dbpedia.org/resource/Jules_Van_den_Heuvel","http://dbpedia.org/ontology/wikiPageWikiLink","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
"http://fr.wikipedia.org/wiki/Henri_Carton_de_Wiart","http://xmlns.com/foaf/0.1/primaryTopic","http://fr.dbpedia.org/resource/Henri_Carton_de_Wiart"
