"s","p","o"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Agent"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Person"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Politician"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/Person"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q215627"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q24229398"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q5"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q82955"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Person"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"
"http://nl.dbpedia.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
