s,p,o
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://schema.org/Dataset
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://schema.org/about,http://www.wikidata.org/entity/Q14990
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://creativecommons.org/ns#license,http://creativecommons.org/publicdomain/zero/1.0/
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://schema.org/softwareVersion,"""0.1.0"" ."
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://schema.org/version,"""644398245""^^<http://www.w3.org/2001/XMLSchema#integer"
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://schema.org/dateModified,"""2018-03-06T09:54:38Z""^^<http://www.w3.org/2001/XMLSchema#dateTime"
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://wikiba.se/ontology-beta#statements,"""36""^^<http://www.w3.org/2001/XMLSchema#integer"
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://wikiba.se/ontology-beta#identifiers,"""18""^^<http://www.w3.org/2001/XMLSchema#integer"
https://www.wikidata.org/wiki/Special:EntityData/Q14990,http://wikiba.se/ontology-beta#sitelinks,"""17""^^<http://www.w3.org/2001/XMLSchema#integer"
http://www.wikidata.org/entity/Q14990,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Item
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@en ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@en ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@en ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henry Carton de Wiart""@fr ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henry Carton de Wiart""@fr ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henry Carton de Wiart""@fr ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@de ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@de ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@de ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@en-ca ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@en-ca ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@en-ca ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@en-gb ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@en-gb ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@en-gb ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@hu ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@hu ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@hu ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henry Carton de Wiart""@it ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henry Carton de Wiart""@it ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henry Carton de Wiart""@it ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""\u30A2\u30F3\u30EA\u30FB\u30AB\u30EB\u30C8\u30F3\u30FB\u30C9\u30A5\u30FB\u30F4\u30A3\u30A2\u30FC\u30EB""@ja ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""\u30A2\u30F3\u30EA\u30FB\u30AB\u30EB\u30C8\u30F3\u30FB\u30C9\u30A5\u30FB\u30F4\u30A3\u30A2\u30FC\u30EB""@ja ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""\u30A2\u30F3\u30EA\u30FB\u30AB\u30EB\u30C8\u30F3\u30FB\u30C9\u30A5\u30FB\u30F4\u30A3\u30A2\u30FC\u30EB""@ja ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henricus Carton de Wiart""@la ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henricus Carton de Wiart""@la ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henricus Carton de Wiart""@la ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@nl ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@nl ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@nl ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@pt ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@pt ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@pt ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@pt-br ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@pt-br ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@pt-br ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""\u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0438\u0430\u0440, \u0410\u043D\u0440\u0438""@ru ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""\u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0438\u0430\u0440, \u0410\u043D\u0440\u0438""@ru ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""\u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0438\u0430\u0440, \u0410\u043D\u0440\u0438""@ru ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@sv ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@sv ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@sv ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""\u0410\u043D\u0440\u0456 \u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0456\u0430\u0440\u0442""@uk ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""\u0410\u043D\u0440\u0456 \u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0456\u0430\u0440\u0442""@uk ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""\u0410\u043D\u0440\u0456 \u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0456\u0430\u0440\u0442""@uk ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""\u4EA8\u5229\u00B7\u5361\u5C14\u4E1C\u00B7\u5FB7\u7EF4\u4E9A\u5C14""@zh ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""\u4EA8\u5229\u00B7\u5361\u5C14\u4E1C\u00B7\u5FB7\u7EF4\u4E9A\u5C14""@zh ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""\u4EA8\u5229\u00B7\u5361\u5C14\u4E1C\u00B7\u5FB7\u7EF4\u4E9A\u5C14""@zh ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@es ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@es ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@es ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@nb ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@nb ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@nb ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henry Carton de Wiart""@mg ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henry Carton de Wiart""@mg ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henry Carton de Wiart""@mg ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@tr ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@tr ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@tr ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2000/01/rdf-schema#label,"""Henri Carton de Wiart""@sl ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#prefLabel,"""Henri Carton de Wiart""@sl ."
http://www.wikidata.org/entity/Q14990,http://schema.org/name,"""Henri Carton de Wiart""@sl ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""Belgian former prime minister""@en ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""\u00E9crivain et homme politique belge""@fr ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""politico belga""@it ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""escritor y pol\u00EDtico belga""@es ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""belgischer Politiker und Premierminister""@de ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""\u0633\u06CC\u0627\u0633\u062A\u200C\u0645\u062F\u0627\u0631 \u0628\u0644\u0698\u06CC\u06A9\u06CC""@fa ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""belgisk politiker""@nb ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""belgisk politikar""@nn ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""belgisk politiker""@da ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""Belgisch politicus""@nl ."
http://www.wikidata.org/entity/Q14990,http://schema.org/description,"""\u0633\u064A\u0627\u0633\u064A \u0628\u0644\u062C\u064A\u0643\u064A""@ar ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#altLabel,"""\u0410\u043D\u0440\u0438 \u041A\u0430\u0440\u0442\u043E\u043D \u0434\u0435 \u0412\u0438\u0430\u0440""@ru ."
http://www.wikidata.org/entity/Q14990,http://www.w3.org/2004/02/skos/core#altLabel,"""Henri Carton de Wiart""@fr ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/Q9005
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P214,"""24623115"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P214,https://viaf.org/viaf/24623115
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P213,"""0000 0001 0798 0513"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P244,"""n90616027"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P244,http://id.loc.gov/authorities/names/n90616027
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P227,"""123556082"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P227,http://d-nb.info/gnd/123556082
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q31
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P373,"""Henri Carton de Wiart"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P569,"""1869-01-31T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime"
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P570,"""1951-05-06T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime"
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P102,http://www.wikidata.org/entity/Q792293
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q5
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q213107
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/Q15705021
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P646,"""/m/09d56l"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P646,http://g.co/kg/m/09d56l
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P268,"""120628351"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P268,http://data.bnf.fr/ark:/12148/cb120628351
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Carton%20de%20Wiart.jpg
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q82955
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q36180
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P1273,"""a11275418"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P1412,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/Q1605665
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P1006,"""069021724"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/Q18324538
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P269,"""028885449"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P269,https://www.idref.fr/028885449/id
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q2166029
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P2342,"""144735"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/Q203312
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P2372,"""PS_2361"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P2372,"""PB_2361"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P1315,"""1488935"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P2163,"""265341"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct-normalized/P2163,http://id.worldcat.org/fast/265341
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P950,"""XX936136"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P3630,"""202826"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P3222,"""henry-carton-de-wiart"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/direct/P1946,"""vtls000394816"" ."
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P21,http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.wikidata.org/prop/statement/P21,http://www.wikidata.org/entity/Q6581097
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/bd49d3e4f67bc460ce7a06b6ac3027347cf5ee55
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/759b2a264fff886006b6f49c3ef2f1acbfd1cef0
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/d5847b9b6032aa8b13dae3c2dfd9ed5d114d21b3
http://www.wikidata.org/entity/statement/q14990-852BA302-8798-4105-850E-07041D141395,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/f81efcffa22f97c08b331e95d810ac1eec32bfcd
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P19,http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3
http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3,http://www.wikidata.org/prop/statement/P19,http://www.wikidata.org/entity/Q9005
http://www.wikidata.org/entity/statement/q14990-EB40A42B-25F4-4902-8E4A-8069F65874C3,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/d4bd87b862b12d99d26e86472d44f26858dee639
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P214,http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.wikidata.org/prop/statement/P214,"""24623115"" ."
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.wikidata.org/prop/statement/value-normalized/P214,https://viaf.org/viaf/24623115
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/fa278ebfc458360e5aed63d5058cca83c46134f1
http://www.wikidata.org/entity/statement/q14990-446A581D-A2A2-4BD3-BF3C-804B3566ACC2,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a24f7c0208b05d6be97077d855671d1dfdbc0dd
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P213,http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.wikidata.org/prop/statement/P213,"""0000 0001 0798 0513"" ."
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a35e58d096248d4e691ec174537c3f6d9b72b56
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P244,http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.wikidata.org/prop/statement/P244,"""n90616027"" ."
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.wikidata.org/prop/statement/value-normalized/P244,http://id.loc.gov/authorities/names/n90616027
