"s","p","o"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://xmlns.com/foaf/0.1/Person"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Person"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q5"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q215627"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Agent"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Person"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","亨利·卡尔东·德维亚尔"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Картон де Виар, Анри"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Анрі Картон де Віарт"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henry Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henry Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","アンリ・カルトン・ドゥ・ヴィアール"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#label","Henri Carton de Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://cantic.bnc.cat/registres/CUCId/a11275418"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://isni.org/isni/0000_0001_0798_0513"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://nla.gov.au/nla.party-1488935"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","https://commons.wikimedia.org/wiki/Category:Henri_Carton_de_Wiart"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://datos.bne.es/resource/XX936136"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://catalogue.bnf.fr/ark:/12148/cb120628351/PUBLIC"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://opc4.kb.nl/PPN?PPN=069021724"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2002/07/owl#sameAs","http://id.loc.gov/authorities/names/n90616027"
"http://wikidata.dbpedia.org/resource/Q14990","http://www.w3.org/2002/07/owl#sameAs","http://d-nb.info/gnd/123556082/about/rdf"
