"s","p","o"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Walloon_people"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_officeholder_110371450"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_worker_109632518"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_owner_110389398"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_skilled_worker_110605985"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/yagoLegalActor"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_People_from_Brussels"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Prime_Ministers_of_Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_communicator_109610660"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_noble_110271677"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_physical_entity_100001930"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Belgian_writers_in_French"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Catholic_Party_(Belgium)_politicians"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Walloon_writers"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_minister_110320863"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_organism_100004475"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_holder_110180178"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_administrator_109770949"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_writer_110794014"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_executive_110069645"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_living_thing_100004258"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/yagoLegalActorGeo"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wikicat_Counts_of_Belgium"
"http://yago-knowledge.org/resource/Henri_Carton_de_Wiart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://yago-knowledge.org/resource/wordnet_leader_109623038"
